,Year,Population
3,1960,50199700.0
4,1961,50536350.0
5,1962,50879450.0
6,1963,51252000.0
7,1964,51675350.0
8,1965,52112350.0
9,1966,52519000.0
10,1967,52900500.0
11,1968,53235750.0
12,1969,53537950.0
13,1970,53821850.0
14,1971,54073490.0
15,1972,54381345.0
16,1973,54751406.0
17,1974,55110868.0
18,1975,55441001.0
19,1976,55718260.0
20,1977,55955411.0
21,1978,56155143.0
22,1979,56317749.0
23,1980,56433883.0
24,1981,56501675.0
25,1982,56543548.0
26,1983,56564074.0
27,1984,56576718.0
28,1985,56593071.0
29,1986,56596155.0
30,1987,56601931.0
31,1988,56629288.0
32,1989,56671781.0
33,1990,56719240.0
34,1991,56758521.0
35,1992,56797087.0
36,1993,56831821.0
37,1994,56843400.0
38,1995,56844303.0
39,1996,56860281.0
40,1997,56890372.0
41,1998,56906744.0
42,1999,56916317.0
43,2000,56942108.0
44,2001,56974100.0
45,2002,57059007.0
46,2003,57313203.0
47,2004,57685327.0
48,2005,57969484.0
49,2006,58143979.0
50,2007,58438310.0
51,2008,58826731.0
52,2009,59095365.0
53,2010,59277417.0
54,2011,59379449.0
55,2012,59539717.0
56,2013,60233948.0
57,2014,60789140.0
58,2015,60730582.0
59,2016,60627498.0
60,2017,60536709.0
61,2018,60421760.0
62,2019,59729081.0
63,2020,59438851.0
64,2021,59133173.0
65,2022,58940425.0
66,2023,58761146.0
67,Unnamed: 68,
