Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.1239024390244,69.760243902439,69.149756097561,69.2480487804878,70.3117073170732,70.1717073170732,70.9260975609756,70.9565853658537,70.78,70.8119512195122,71.5587804878049,71.8068292682927,72.0753658536586,72.0263414634146,72.7343902439025,72.6473170731708,72.9919512195122,73.3646341463415,73.6931707317073,74.0026829268293,73.9431707317073,74.3539024390244,74.8146341463415,74.640243902439,75.389512195122,75.4707317073171,75.7707317073171,76.219512195122,76.3707317073171,76.819512195122,76.9707317073171,77.0195121951219,77.419512195122,77.7219512195122,77.9219512195122,78.1707317073171,78.5219512195122,78.8243902439024,78.9756097560976,79.4243902439024,79.7780487804878,80.1268292682927,80.2292682926829,79.9829268292683,80.7804878048781,80.7829268292683,81.2829268292683,81.4341463414634,81.4853658536585,81.6365853658537,82.0365853658537,82.1878048780488,82.2390243902439,82.690243902439,83.090243902439,82.5439024390244,83.2439024390244,82.9463414634147,83.3463414634146,83.4975609756098,82.1951219512195,82.6463414634146,82.9,..
Italy,ITA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,3.36681008338928,2.89877009391785,..,..,3.83513998985291,3.71161007881165,3.91951990127563,..,3.78035998344421,4.16373014450073,..,..,..,4.48805999755859,4.77456998825073,4.68980979919434,4.65490007400513,..,4.59277009963989,..,..,..,..,4.73389005661011,4.43331003189087,4.31864976882935,4.44763994216919,..,4.45031023025513,4.51084995269775,4.29107999801636,4.65009021759033,4.43240976333618,4.54179000854492,4.38520002365112,4.23829984664917,4.52545022964478,4.10503005981445,4.38794994354248,4.52371978759766,4.33411979675293,4.11568021774292,4.05601978302002,4.14367008209229,4.06127977371216,4.07362985610962,3.81578993797302,4.04493999481201,4.25614023208618,4.09527015686035,4.44194984436035,4.01999998092651,..,..
Italy,ITA,"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)",SL.UEM.NEET.FE.ME.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.078,18.267,17.179,18.029,18.157,19.048,19.945,20.845,21.455,21.48,20.911,19.692,19.917,19.512,18.132,18.825,20.006,15.401,12.279
Italy,ITA,Net migration,SM.POP.NETM,-145608,-133680,-34465,-32983,-28503,-37417,-41084,-40540,-59536,-47564,-67909,-58091,46122,47614,46875,46976,54058,53296,49142,48337,261163,-9842,-43214,-36074,-31310,-19940,-16397,-5191,7922,13310,21268,20830,27442,27613,24764,28851,54527,51034,42190,39982,49166,47084,222527,478254,417189,250910,210398,485871,413349,280126,270043,195257,249033,154366,50102,34031,49591,70475,75863,21615,28021,28021,58496,58496
Italy,ITA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,8.89999961853027,9,9.19999980926514,9.30000019073486,9.5,9.60000038146973,9.69999980926514,9.89999961853027,10.1000003814697,10.3000001907349,10.6000003814697,10.6000003814697,10.6000003814697,10.5,10.6000003814697,10.6000003814697,10.3999996185303,10.3000001907349,10,9.80000019073486,9.60000038146973,9.39999961853027,9.10000038146973,8.89999961853027,8.5,8.30000019073486,8,7.80000019073486,7.5,7.09999990463257,7.1999998093,6.8000001907,6.9000000954,6.6999998093,6.5999999046,6.3000001907,6.5,5.9000000954,5.5,4.9000000954,4.71,4.61,4.44,4.17,4.01,4.03,3.97,3.88,3.77,3.66,3.61,3.48,3.38,3.31,3.24,3.22,3.2,3.21,3.17,3.16,3.18,..,..,..
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.66,53.183,53.71,54.209,54.648,55.084,55.473,55.868,56.31,56.748,57.171,57.586,58.032,58.472,58.881,59.353,59.792,60.24,60.72,61.253,61.781,62.333,62.856,63.331,63.773,64.198,64.64,65.08,65.454,65.868,65.985,66.31,66.708,67.109,67.568,67.919,68.409,68.813,69.189,69.524,69.737,70.195,70.41,70.72,71.131,71.753,72.037,72.365,72.715,72.948,73.182,73.343,73.552,73.918,74.306,74.332,74.442,74.827,75.109,75.338,74.009,72.75,73.425,..
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.56816005706787,..,..,4.75665998458862,3.80062007904053,3.94893002510071,3.84468007087708,3.75037002563477,..,3.97447991371155,4.47908020019531,4.87060022354126,4.97425985336304,5.26883983612061,5.46355009078979,5.64879989624023,5.73741006851196,5.85510015487671,5.8388500213623,5.94848012924194,6.24105978012085,6.314040184021,6.32047986984253,6.08851003646851,5.96346998214722,5.77150011062622,..,..,..
Brazil,BRA,"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)",SL.UEM.NEET.FE.ME.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.448,26.537,26.36,24.932,25.346,25.575,25.912,27.24,27.447,27.194,28.613,29.615,30.507,30.05,29.475,31.251,28.27,25.837,25.465
Brazil,BRA,Net migration,SM.POP.NETM,51401,369,2383,1837,2787,10232,-6967,-268,-6056,-5043,-3856,-14008,-6485,-3826,-6487,-7793,-15633,8791,7653,8024,11959,-14927,-23807,-17884,-20225,-13535,-24426,-22335,-11309,-2800,6457,-30659,-20270,-21956,-11642,-26337,-24330,-20429,-22409,-26152,-1761,3453,6018,-16908,-5390,-42926,-34007,-30331,-35373,-29357,16843,33631,43451,35308,24940,4764,82589,56362,67934,69186,56880,20376,6425,6000
Brazil,BRA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.20179533958435,..,..,..,..,..,..,..,..,..,3.69180011749268,..,..,..,..,4.9951000213623,..,..,..,..,..,..,..,..,..,..,..,3.56030011177063,..,..,3.3452999592,..,..,3.5,..,..,3.1099998951,..,..,..,2.78,2.75,2.56,2.4,..,2.5,2.45,2.47,2.57,2.55,2.55,2.51,2.47,2.45,2.44,2.35,2.32,2.3,2.26,2.24,2.43,2.46,..,..
